State,Years,Percentage,Race
Vermont,2019,12.30%,"American   
                Indian or Alaska Native Alone"
Vermont,2018,10.10%,"American   
                Indian or Alaska Native Alone"
Vermont,2017,18.70%,"American   
                Indian or Alaska Native Alone"
Vermont,2016,9.20%,"American   
                Indian or Alaska Native Alone"
Vermont,2015,6.90%,"American   
                Indian or Alaska Native Alone"
Virginia,2022,N,"American   
                Indian or Alaska Native Alone"
Virginia,2021,N,"American   
                Indian or Alaska Native Alone"
Virginia,2020,17.00%,"American   
                Indian or Alaska Native Alone"
Virginia,2019,23.20%,"American   
                Indian or Alaska Native Alone"
Virginia,2018,N,"American   
                Indian or Alaska Native Alone"
Virginia,2017,0.00%,"American   
                Indian or Alaska Native Alone"
Virginia,2016,N,"American   
                Indian or Alaska Native Alone"
Virginia,2015,4.50%,"American   
                Indian or Alaska Native Alone"
Washington,2022,20.50%,"American   
                Indian or Alaska Native Alone"
Washington,2021,17.70%,"American   
                Indian or Alaska Native Alone"
Washington,2020,24.70%,"American   
                Indian or Alaska Native Alone"
Washington,2019,32.70%,"American   
                Indian or Alaska Native Alone"
Washington,2018,19.00%,"American   
                Indian or Alaska Native Alone"
Washington,2017,19.50%,"American   
                Indian or Alaska Native Alone"
Washington,2016,22.30%,"American   
                Indian or Alaska Native Alone"
Washington,2015,22.20%,"American   
                Indian or Alaska Native Alone"
West Virginia,2022,13.00%,"American   
                Indian or Alaska Native Alone"
West Virginia,2021,13.40%,"American   
                Indian or Alaska Native Alone"
West Virginia,2020,13.50%,"American   
                Indian or Alaska Native Alone"
West Virginia,2019,13.90%,"American   
                Indian or Alaska Native Alone"
West Virginia,2018,16.30%,"American   
                Indian or Alaska Native Alone"
West Virginia,2017,12.50%,"American   
                Indian or Alaska Native Alone"
West Virginia,2016,9.60%,"American   
                Indian or Alaska Native Alone"
West Virginia,2015,8.90%,"American   
                Indian or Alaska Native Alone"
Wisconsin,2022,13.40%,"American   
                Indian or Alaska Native Alone"
Wisconsin,2021,10.30%,"American   
                Indian or Alaska Native Alone"
Wisconsin,2020,4.50%,"American   
                Indian or Alaska Native Alone"
Wisconsin,2019,20.10%,"American   
                Indian or Alaska Native Alone"
Wisconsin,2018,N,"American   
                Indian or Alaska Native Alone"
Wisconsin,2017,N,"American   
                Indian or Alaska Native Alone"
Wisconsin,2016,0.00%,"American   
                Indian or Alaska Native Alone"
Wisconsin,2015,N,"American   
                Indian or Alaska Native Alone"
Wyoming,2022,12.90%,"American   
                Indian or Alaska Native Alone"
Wyoming,2021,9.80%,"American   
                Indian or Alaska Native Alone"
Wyoming,2020,12.10%,"American   
                Indian or Alaska Native Alone"
Wyoming,2019,10.00%,"American   
                Indian or Alaska Native Alone"
Wyoming,2018,16.00%,"American   
                Indian or Alaska Native Alone"
Wyoming,2017,11.00%,"American   
                Indian or Alaska Native Alone"
Wyoming,2016,16.70%,"American   
                Indian or Alaska Native Alone"
Wyoming,2015,10.70%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2022,3.20%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2021,6.00%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2020,10.60%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2019,7.30%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2018,18.80%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2017,6.80%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2016,10.70%,"American   
                Indian or Alaska Native Alone"
Puerto Rico,2015,18.10%,"American   
                Indian or Alaska Native Alone"
Alabama,2022,58.30%,Asian Alone
Alabama,2021,61.80%,Asian Alone
Alabama,2020,54.50%,Asian Alone
Alabama,2019,57.80%,Asian Alone
Alabama,2018,57.80%,Asian Alone
Alabama,2017,54.10%,Asian Alone
Alabama,2016,53.40%,Asian Alone
Alabama,2015,61.00%,Asian Alone
Alaska,2022,22.00%,Asian Alone
Alaska,2021,26.00%,Asian Alone
Alaska,2020,20.50%,Asian Alone
Alaska,2019,20.70%,Asian Alone
Alaska,2018,22.50%,Asian Alone
Alaska,2017,19.30%,Asian Alone
Alaska,2016,22.20%,Asian Alone
Alaska,2015,18.50%,Asian Alone
Arizona,2022,61.70%,Asian Alone
Arizona,2021,63.90%,Asian Alone
Arizona,2020,63.00%,Asian Alone
Arizona,2019,65.60%,Asian Alone
Arizona,2018,62.90%,Asian Alone
Arizona,2017,63.00%,Asian Alone
Arizona,2016,58.90%,Asian Alone
Arizona,2015,59.00%,Asian Alone
Arkansas,2022,65.20%,Asian Alone
Arkansas,2021,55.30%,Asian Alone
Arkansas,2020,54.20%,Asian Alone
Arkansas,2019,62.40%,Asian Alone
Arkansas,2018,50.90%,Asian Alone
Arkansas,2017,49.00%,Asian Alone
Arkansas,2016,56.10%,Asian Alone
Arkansas,2015,56.80%,Asian Alone
California,2022,57.10%,Asian Alone
California,2021,55.90%,Asian Alone
California,2020,54.70%,Asian Alone
California,2019,55.40%,Asian Alone
California,2018,54.60%,Asian Alone
California,2017,53.80%,Asian Alone
California,2016,53.10%,Asian Alone
California,2015,52.00%,Asian Alone
Colorado,2022,60.10%,Asian Alone
Colorado,2021,56.10%,Asian Alone
Colorado,2020,54.30%,Asian Alone
Colorado,2019,54.60%,Asian Alone
Colorado,2018,60.90%,Asian Alone
Colorado,2017,57.20%,Asian Alone
Colorado,2016,54.10%,Asian Alone
Colorado,2015,54.70%,Asian Alone
Connecticut,2022,67.00%,Asian Alone
Connecticut,2021,67.30%,Asian Alone
Connecticut,2020,69.20%,Asian Alone
Connecticut,2019,66.40%,Asian Alone
Connecticut,2018,70.10%,Asian Alone
Connecticut,2017,68.90%,Asian Alone
Connecticut,2016,70.00%,Asian Alone
Connecticut,2015,66.20%,Asian Alone
Delaware,2022,74.70%,Asian Alone
Delaware,2021,77.30%,Asian Alone
Delaware,2020,70.10%,Asian Alone
Delaware,2019,74.60%,Asian Alone
Delaware,2018,64.10%,Asian Alone
Delaware,2017,73.60%,Asian Alone
Delaware,2016,69.80%,Asian Alone
Delaware,2015,72.20%,Asian Alone
Florida,2022,85.30%,Asian Alone
Florida,2021,76.60%,Asian Alone
Florida,2020,83.70%,Asian Alone
Florida,2019,81.10%,Asian Alone
Florida,2018,84.90%,Asian Alone
Florida,2017,85.50%,Asian Alone
Florida,2016,82.60%,Asian Alone
Florida,2015,76.50%,Asian Alone
Georgia,2022,56.20%,Asian Alone
Georgia,2021,54.10%,Asian Alone
Georgia,2020,52.60%,Asian Alone
Georgia,2019,54.10%,Asian Alone
Georgia,2018,51.70%,Asian Alone
Georgia,2017,55.10%,Asian Alone
Georgia,2016,52.60%,Asian Alone
Georgia,2015,52.20%,Asian Alone
Hawaii,2022,62.60%,Asian Alone
Hawaii,2021,61.30%,Asian Alone
Hawaii,2020,60.00%,Asian Alone
Hawaii,2019,59.40%,Asian Alone
Hawaii,2018,60.20%,Asian Alone
Hawaii,2017,56.60%,Asian Alone
Hawaii,2016,62.10%,Asian Alone
Hawaii,2015,56.30%,Asian Alone
Idaho,2022,35.90%,Asian Alone
Idaho,2021,34.50%,Asian Alone
Idaho,2020,33.70%,Asian Alone
Idaho,2019,32.50%,Asian Alone
Idaho,2018,33.90%,Asian Alone
Idaho,2017,32.70%,Asian Alone
Idaho,2016,32.70%,Asian Alone
Idaho,2015,30.90%,Asian Alone
Illinois,2022,60.50%,Asian Alone
Illinois,2021,56.00%,Asian Alone
Illinois,2020,48.90%,Asian Alone
Illinois,2019,48.20%,Asian Alone
Illinois,2018,50.90%,Asian Alone
Illinois,2017,52.30%,Asian Alone
Illinois,2016,43.60%,Asian Alone
Illinois,2015,50.20%,Asian Alone
Indiana,2022,69.90%,Asian Alone
Indiana,2021,67.60%,Asian Alone
Indiana,2020,68.80%,Asian Alone
Indiana,2019,67.30%,Asian Alone
Indiana,2018,67.90%,Asian Alone
Indiana,2017,67.20%,Asian Alone
Indiana,2016,67.80%,Asian Alone
Indiana,2015,65.20%,Asian Alone
Iowa,2022,56.80%,Asian Alone
Iowa,2021,54.90%,Asian Alone
Iowa,2020,62.10%,Asian Alone
Iowa,2019,64.70%,Asian Alone
Iowa,2018,65.40%,Asian Alone
Iowa,2017,63.50%,Asian Alone
Iowa,2016,59.60%,Asian Alone
Iowa,2015,67.40%,Asian Alone
Kansas,2022,58.40%,Asian Alone
Kansas,2021,41.00%,Asian Alone
Kansas,2020,49.90%,Asian Alone
Kansas,2019,52.30%,Asian Alone
Kansas,2018,50.00%,Asian Alone
Kansas,2017,40.80%,Asian Alone
Kansas,2016,55.80%,Asian Alone
Kansas,2015,52.40%,Asian Alone
Kentucky,2022,56.10%,Asian Alone
Kentucky,2021,56.60%,Asian Alone
Kentucky,2020,56.40%,Asian Alone
Kentucky,2019,54.50%,Asian Alone
Kentucky,2018,60.70%,Asian Alone
Kentucky,2017,53.60%,Asian Alone
Kentucky,2016,57.20%,Asian Alone
Kentucky,2015,48.90%,Asian Alone
Louisiana,2022,63.20%,Asian Alone
Louisiana,2021,53.70%,Asian Alone
Louisiana,2020,58.60%,Asian Alone
Louisiana,2019,65.40%,Asian Alone
Louisiana,2018,55.90%,Asian Alone
Louisiana,2017,53.90%,Asian Alone
Louisiana,2016,56.40%,Asian Alone
Louisiana,2015,57.10%,Asian Alone
Maine,2022,52.20%,Asian Alone
Maine,2021,41.00%,Asian Alone
Maine,2020,46.30%,Asian Alone
Maine,2019,46.90%,Asian Alone
Maine,2018,44.40%,Asian Alone
Maine,2017,45.10%,Asian Alone
Maine,2016,47.30%,Asian Alone
Maine,2015,43.30%,Asian Alone
Maryland,2022,42.00%,Asian Alone
Maryland,2021,46.50%,Asian Alone
Maryland,2020,45.60%,Asian Alone
Maryland,2019,48.20%,Asian Alone
Maryland,2018,55.40%,Asian Alone
Maryland,2017,47.70%,Asian Alone
Maryland,2016,42.70%,Asian Alone
Maryland,2015,45.60%,Asian Alone
Massachusetts,2022,68.80%,Asian Alone
Massachusetts,2021,65.70%,Asian Alone
Massachusetts,2020,66.80%,Asian Alone
Massachusetts,2019,64.60%,Asian Alone
Massachusetts,2018,66.90%,Asian Alone
Massachusetts,2017,65.00%,Asian Alone
Massachusetts,2016,66.50%,Asian Alone
Massachusetts,2015,66.90%,Asian Alone
Michigan,2022,65.20%,Asian Alone
Michigan,2021,65.70%,Asian Alone
Michigan,2020,64.20%,Asian Alone
Michigan,2019,65.30%,Asian Alone
Michigan,2018,66.40%,Asian Alone
Michigan,2017,64.80%,Asian Alone
Michigan,2016,61.50%,Asian Alone
Michigan,2015,61.10%,Asian Alone
Minnesota,2022,68.80%,Asian Alone
Minnesota,2021,71.40%,Asian Alone
Minnesota,2020,69.20%,Asian Alone
Minnesota,2019,70.00%,Asian Alone
Minnesota,2018,70.50%,Asian Alone
Minnesota,2017,68.30%,Asian Alone
Minnesota,2016,67.40%,Asian Alone
Minnesota,2015,70.20%,Asian Alone
Mississippi,2022,46.00%,Asian Alone
Mississippi,2021,42.60%,Asian Alone
Mississippi,2020,45.80%,Asian Alone
Mississippi,2019,47.80%,Asian Alone
Mississippi,2018,46.10%,Asian Alone
Mississippi,2017,46.40%,Asian Alone
Mississippi,2016,42.70%,Asian Alone
Mississippi,2015,46.20%,Asian Alone
Missouri,2022,55.20%,Asian Alone
Missouri,2021,42.10%,Asian Alone
Missouri,2020,45.60%,Asian Alone
Missouri,2019,46.80%,Asian Alone
Missouri,2018,54.10%,Asian Alone
Missouri,2017,31.00%,Asian Alone
Missouri,2016,55.20%,Asian Alone
Missouri,2015,43.50%,Asian Alone
Montana,2022,68.30%,Asian Alone
Montana,2021,64.40%,Asian Alone
Montana,2020,66.00%,Asian Alone
Montana,2019,64.20%,Asian Alone
Montana,2018,68.90%,Asian Alone
Montana,2017,63.10%,Asian Alone
Montana,2016,66.90%,Asian Alone
Montana,2015,64.10%,Asian Alone
Nebraska,2022,60.90%,Asian Alone
Nebraska,2021,68.60%,Asian Alone
Nebraska,2020,55.50%,Asian Alone
Nebraska,2019,51.90%,Asian Alone
Nebraska,2018,57.70%,Asian Alone
Nebraska,2017,29.90%,Asian Alone
Nebraska,2016,67.70%,Asian Alone
Nebraska,2015,49.40%,Asian Alone
Nevada,2022,55.00%,Asian Alone
Nevada,2021,45.00%,Asian Alone
Nevada,2020,48.20%,Asian Alone
Nevada,2019,45.60%,Asian Alone
Nevada,2018,46.60%,Asian Alone
Nevada,2017,53.70%,Asian Alone
Nevada,2016,45.70%,Asian Alone
Nevada,2015,61.50%,Asian Alone
New Hampshire,2022,38.20%,Asian Alone
New Hampshire,2021,40.10%,Asian Alone
New Hampshire,2020,41.30%,Asian Alone
New Hampshire,2019,42.50%,Asian Alone
New Hampshire,2018,37.80%,Asian Alone
New Hampshire,2017,41.00%,Asian Alone
New Hampshire,2016,37.10%,Asian Alone
New Hampshire,2015,36.70%,Asian Alone
New Jersey,2022,73.90%,Asian Alone
New Jersey,2021,64.50%,Asian Alone
New Jersey,2020,64.60%,Asian Alone
New Jersey,2019,67.30%,Asian Alone
New Jersey,2018,64.10%,Asian Alone
New Jersey,2017,61.70%,Asian Alone
New Jersey,2016,56.80%,Asian Alone
New Jersey,2015,70.50%,Asian Alone
New Mexico,2022,74.20%,Asian Alone
New Mexico,2021,74.30%,Asian Alone
New Mexico,2020,73.90%,Asian Alone
New Mexico,2019,73.90%,Asian Alone
New Mexico,2018,74.30%,Asian Alone
New Mexico,2017,73.30%,Asian Alone
New Mexico,2016,72.10%,Asian Alone
